id,name,Type,Gender,Skin,Attribute Count,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7
55,Punk #55,Human,Male,Light,1,Eye Patch,,,,,,
56,Punk #56,Human,Male,Dark,1,Shaved Head,,,,,,
57,Punk #57,Human,Male,Light,1,Headband,,,,,,
58,Punk #58,Human,Male,Medium,2,Normal Beard Black,Hoodie,,,,,
59,Punk #59,Human,Male,Albino,2,Muttonchops,Cowboy Hat,,,,,
60,Punk #60,Human,Female,Light,2,Stringy Hair,Purple Lipstick,,,,,
61,Punk #61,Human,Female,Light,1,Dark Hair,,,,,,
62,Punk #62,Human,Female,Dark,4,Hot Lipstick,Earring,Mohawk Dark,Clown Eyes Blue,,,
63,Punk #63,Human,Male,Dark,3,Earring,Shaved Head,Small Shades,,,,
64,Punk #64,Human,Female,Medium,2,Straight Hair Blonde,Purple Lipstick,,,,,
65,Punk #65,Human,Female,Medium,2,Eye Mask,Headband,,,,,
66,Punk #66,Human,Female,Dark,1,Tassle Hat,,,,,,
67,Punk #67,Human,Female,Dark,3,Half Shaved,Purple Lipstick,3D Glasses,,,,
68,Punk #68,Human,Male,Dark,2,Nerd Glasses,Do-rag,,,,,
69,Punk #69,Human,Male,Medium,2,Normal Beard Black,Fedora,,,,,
70,Punk #70,Human,Female,Medium,4,Crazy Hair,Regular Shades,Earring,Cigarette,,,
71,Punk #71,Human,Female,Light,3,Green Eye Shadow,Half Shaved,Purple Lipstick,,,,
72,Punk #72,Human,Male,Dark,4,Fedora,Earring,Nerd Glasses,Normal Beard,,,
73,Punk #73,Human,Female,Medium,3,Black Lipstick,Bandana,Earring,,,,
74,Punk #74,Human,Male,Dark,3,Shadow Beard,Earring,Mohawk Dark,,,,
75,Punk #75,Human,Male,Light,3,Shadow Beard,Knitted Cap,Eye Patch,,,,
76,Punk #76,Human,Male,Light,2,Cigarette,Do-rag,,,,,
77,Punk #77,Human,Male,Dark,2,Stringy Hair,Handlebars,,,,,
78,Punk #78,Human,Male,Medium,3,Handlebars,Knitted Cap,Eye Patch,,,,
79,Punk #79,Human,Male,Dark,2,Normal Beard,Mohawk Dark,,,,,
80,Punk #80,Human,Male,Albino,2,Wild Hair,Mustache,,,,,
81,Punk #81,Human,Male,Light,2,Headband,Small Shades,,,,,
82,Punk #82,Human,Male,Albino,1,Headband,,,,,,
83,Punk #83,Human,Male,Light,3,Vape,Shaved Head,Small Shades,,,,
84,Punk #84,Human,Male,Light,3,Messy Hair,Big Shades,Earring,,,,
85,Punk #85,Human,Female,Dark,1,Crazy Hair,,,,,,
86,Punk #86,Human,Female,Dark,4,Knitted Cap,Green Eye Shadow,Hot Lipstick,Earring,,,
87,Punk #87,Human,Male,Light,2,Hoodie,Earring,,,,,
88,Punk #88,Human,Female,Light,2,Cap,Hot Lipstick,,,,,
89,Punk #89,Human,Female,Dark,1,Choker,,,,,,
90,Punk #90,Human,Male,Medium,2,Hoodie,Eye Patch,,,,,
91,Punk #91,Human,Female,Light,2,Clown Nose,Straight Hair,,,,,
92,Punk #92,Human,Female,Light,3,Pink With Hat,Purple Lipstick,Nerd Glasses,,,,
93,Punk #93,Human,Female,Light,1,Bandana,,,,,,
94,Punk #94,Human,Female,Dark,3,Pink With Hat,Regular Shades,Earring,,,,
95,Punk #95,Human,Male,Medium,2,Earring,Mohawk,,,,,
96,Punk #96,Human,Female,Light,1,Blonde Bob,,,,,,
97,Punk #97,Human,Male,Medium,1,Wild Hair,,,,,,
98,Punk #98,Human,Female,Light,3,Black Lipstick,Welding Goggles,Dark Hair,,,,
99,Punk #99,Human,Male,Medium,2,Cigarette,Hoodie,,,,,
100,Punk #100,Human,Female,Medium,1,Tassle Hat,,,,,,
101,Punk #101,Human,Male,Medium,2,Police Cap,Nerd Glasses,,,,,
102,Punk #102,Human,Male,Medium,2,Vampire Hair,Luxurious Beard,,,,,
103,Punk #103,Human,Female,Dark,3,Black Lipstick,Green Eye Shadow,Blonde Bob,,,,
104,Punk #104,Human,Male,Dark,4,Normal Beard Black,Earring,Crazy Hair,Eye Patch,,,
105,Punk #105,Human,Male,Light,1,Mohawk Thin,,,,,,
106,Punk #106,Human,Female,Light,1,Straight Hair Blonde,,,,,,
107,Punk #107,Human,Male,Medium,1,Headband,,,,,,
108,Punk #108,Human,Female,Light,2,Black Lipstick,Headband,,,,,
109,Punk #109,Human,Male,Dark,3,Handlebars,Fedora,Earring,,,,
110,Punk #110,Human,Female,Dark,4,Purple Lipstick,Earring,Mohawk Dark,Cigarette,,,
111,Punk #111,Human,Male,Dark,2,Handlebars,Knitted Cap,,,,,
112,Punk #112,Human,Male,Medium,4,Bandana,Earring,Horned Rim Glasses,Big Beard,,,
113,Punk #113,Human,Male,Albino,1,Mohawk,,,,,,
114,Punk #114,Human,Female,Dark,1,Red Mohawk,,,,,,
115,Punk #115,Human,Female,Dark,2,Half Shaved,Earring,,,,,
116,Punk #116,Human,Female,Dark,4,Black Lipstick,Tiara,Earring,Clown Eyes Blue,,,
117,Punk #117,Zombie,Male,,2,Messy Hair,Front Beard Dark,,,,,
118,Punk #118,Human,Female,Light,2,Black Lipstick,Bandana,,,,,
119,Punk #119,Human,Male,Medium,2,Cap,Earring,,,,,
120,Punk #120,Human,Female,Medium,2,Tassle Hat,Big Shades,,,,,
121,Punk #121,Human,Female,Light,2,Tiara,Purple Lipstick,,,,,
122,Punk #122,Human,Male,Light,2,Cigarette,Mohawk,,,,,
123,Punk #123,Human,Female,Medium,2,Wild White Hair,Spots,,,,,
124,Punk #124,Human,Male,Medium,3,Normal Beard Black,Peak Spike,Earring,,,,
125,Punk #125,Human,Female,Light,3,Tassle Hat,Big Shades,Purple Lipstick,,,,
126,Punk #126,Human,Male,Albino,4,Cigarette,Earring,Headband,Eye Patch,,,
127,Punk #127,Human,Female,Medium,2,Clown Eyes Green,Stringy Hair,,,,,
128,Punk #128,Human,Male,Light,4,Police Cap,Chinstrap,Vape,Mole,,,
129,Punk #129,Human,Male,Light,4,Cigarette,Cap Forward,Gold Chain,Horned Rim Glasses,,,
130,Punk #130,Human,Male,Light,1,Mohawk,,,,,,
131,Punk #131,Human,Female,Medium,2,Hot Lipstick,Straight Hair Dark,,,,,
132,Punk #132,Human,Male,Dark,1,Mohawk Thin,,,,,,
133,Punk #133,Human,Male,Albino,3,Chinstrap,Purple Hair,Pipe,,,,
134,Punk #134,Human,Male,Medium,1,Police Cap,,,,,,
135,Punk #135,Human,Male,Light,1,Cap Forward,,,,,,
136,Punk #136,Human,Male,Dark,3,Shadow Beard,Shaved Head,Clown Eyes Green,,,,
137,Punk #137,Human,Male,Dark,1,Messy Hair,,,,,,
138,Punk #138,Human,Male,Light,2,Stringy Hair,Horned Rim Glasses,,,,,
139,Punk #139,Human,Male,Medium,2,Do-rag,Eye Patch,,,,,
140,Punk #140,Human,Female,Dark,1,Hot Lipstick,,,,,,
141,Punk #141,Human,Male,Dark,3,Chinstrap,Headband,3D Glasses,,,,
142,Punk #142,Human,Male,Light,2,Mohawk,Regular Shades,,,,,
143,Punk #143,Human,Male,Light,2,Beanie,Horned Rim Glasses,,,,,
144,Punk #144,Human,Male,Dark,3,Cigarette,Frumpy Hair,Luxurious Beard,,,,
145,Punk #145,Human,Male,Light,1,Wild Hair,,,,,,
146,Punk #146,Human,Male,Light,2,Earring,Mohawk,,,,,
147,Punk #147,Human,Male,Albino,2,Mohawk Thin,Regular Shades,,,,,
148,Punk #148,Human,Male,Medium,1,Hoodie,,,,,,
149,Punk #149,Human,Male,Light,3,Messy Hair,Luxurious Beard,Big Shades,,,,
150,Punk #150,Human,Female,Medium,2,Purple Lipstick,Earring,,,,,
151,Punk #151,Human,Male,Medium,2,Stringy Hair,VR,,,,,
152,Punk #152,Human,Male,Light,2,Clown Eyes Green,Mohawk Dark,,,,,
153,Punk #153,Human,Male,Medium,3,Eye Mask,Cap,Earring,,,,
154,Punk #154,Human,Male,Dark,3,Hoodie,Shadow Beard,Earring,,,,
155,Punk #155,Human,Male,Dark,2,Clown Nose,Clown Hair Green,,,,,
156,Punk #156,Human,Male,Dark,2,Cap Forward,Small Shades,,,,,
157,Punk #157,Human,Male,Medium,2,Cigarette,Cap,,,,,
158,Punk #158,Human,Male,Light,3,Wild Hair,Goat,Regular Shades,,,,
159,Punk #159,Human,Male,Light,2,Stringy Hair,Earring,,,,,
160,Punk #160,Human,Female,Medium,3,Pigtails,Purple Lipstick,Clown Eyes Blue,,,,
161,Punk #161,Human,Female,Dark,2,Hot Lipstick,Frumpy Hair,,,,,
162,Punk #162,Human,Male,Medium,3,Frumpy Hair,Normal Beard Black,Horned Rim Glasses,,,,
163,Punk #163,Human,Male,Dark,2,Shaved Head,Eye Patch,,,,,
164,Punk #164,Human,Female,Medium,2,Stringy Hair,VR,,,,,
165,Punk #165,Human,Male,Medium,3,Cigarette,Front Beard Dark,Mohawk Dark,,,,
166,Punk #166,Human,Male,Dark,2,Shaved Head,Regular Shades,,,,,
167,Punk #167,Human,Female,Medium,2,Headband,Hot Lipstick,,,,,
168,Punk #168,Human,Female,Light,3,Blue Eye Shadow,Silver Chain,Blonde Bob,,,,
169,Punk #169,Human,Female,Medium,3,Wild White Hair,Hot Lipstick,Regular Shades,,,,
170,Punk #170,Human,Male,Light,3,Peak Spike,Classic Shades,Mole,,,,
171,Punk #171,Human,Male,Medium,3,Stringy Hair,Earring,Mole,,,,
172,Punk #172,Human,Female,Medium,3,Purple Lipstick,Blonde Bob,3D Glasses,,,,
173,Punk #173,Human,Female,Dark,5,Mole,Pipe,Messy Hair,Hot Lipstick,Clown Eyes Blue,,
174,Punk #174,Human,Male,Dark,3,Wild Hair,Earring,Horned Rim Glasses,,,,
175,Punk #175,Human,Male,Medium,2,Cap,Big Shades,,,,,
176,Punk #176,Human,Female,Dark,4,Regular Shades,Wild Hair,Purple Lipstick,Earring,,,
177,Punk #177,Human,Male,Dark,2,Bandana,Luxurious Beard,,,,,
178,Punk #178,Human,Male,Medium,1,Fedora,,,,,,
179,Punk #179,Human,Male,Albino,3,Mohawk Thin,Shadow Beard,Classic Shades,,,,
180,Punk #180,Human,Female,Dark,2,Pilot Helmet,Hot Lipstick,,,,,
181,Punk #181,Human,Male,Dark,1,Mohawk,,,,,,
182,Punk #182,Human,Male,Albino,1,Peak Spike,,,,,,
183,Punk #183,Human,Male,Light,1,Shadow Beard,,,,,,
184,Punk #184,Human,Female,Dark,2,Green Eye Shadow,Blonde Bob,,,,,
185,Punk #185,Human,Female,Light,2,Wild White Hair,Hot Lipstick,,,,,
186,Punk #186,Human,Male,Dark,2,Mustache,Crazy Hair,,,,,
187,Punk #187,Human,Female,Light,1,Straight Hair,,,,,,
188,Punk #188,Human,Male,Dark,3,Peak Spike,Earring,Nerd Glasses,,,,
189,Punk #189,Human,Female,Light,2,Mohawk Thin,Purple Lipstick,,,,,
190,Punk #190,Human,Male,Dark,1,Headband,,,,,,
191,Punk #191,Human,Female,Dark,1,Mohawk,,,,,,
192,Punk #192,Human,Male,Medium,4,Clown Nose,Mohawk Thin,Earring,Nerd Glasses,,,
193,Punk #193,Human,Female,Light,3,Tassle Hat,Green Eye Shadow,Earring,,,,
194,Punk #194,Human,Male,Light,2,Wild Hair,Clown Eyes Green,,,,,
195,Punk #195,Human,Female,Light,2,Straight Hair Blonde,Nerd Glasses,,,,,
196,Punk #196,Human,Female,Light,3,Tassle Hat,Big Shades,Hot Lipstick,,,,
197,Punk #197,Human,Male,Dark,2,Frumpy Hair,Eye Patch,,,,,
198,Punk #198,Human,Male,Medium,2,Beanie,Luxurious Beard,,,,,
199,Punk #199,Human,Female,Light,2,Blonde Short,Classic Shades,,,,,
200,Punk #200,Human,Female,Dark,1,Wild Hair,,,,,,
201,Punk #201,Human,Female,Medium,4,Blue Eye Shadow,Hot Lipstick,Dark Hair,Cigarette,,,
202,Punk #202,Human,Female,Light,3,Headband,Purple Lipstick,Earring,,,,
203,Punk #203,Human,Male,Light,3,Front Beard,Messy Hair,Regular Shades,,,,
204,Punk #204,Human,Male,Medium,2,Crazy Hair,Regular Shades,,,,,
205,Punk #205,Human,Male,Medium,3,Normal Beard Black,Big Shades,Mohawk Dark,,,,
206,Punk #206,Human,Male,Light,3,Cigarette,Clown Nose,Cap Forward,,,,
207,Punk #207,Human,Male,Light,3,Peak Spike,Pipe,Eye Patch,,,,
208,Punk #208,Human,Male,Medium,3,Earring,Shaved Head,3D Glasses,,,,
209,Punk #209,Human,Female,Dark,2,Hot Lipstick,Stringy Hair,,,,,
210,Punk #210,Human,Female,Medium,2,Earring,Straight Hair Dark,,,,,
211,Punk #211,Human,Male,Dark,2,Mohawk Thin,Goat,,,,,
212,Punk #212,Human,Female,Dark,2,Crazy Hair,Hot Lipstick,,,,,
213,Punk #213,Human,Female,Medium,1,Crazy Hair,,,,,,
214,Punk #214,Human,Male,Dark,2,Front Beard Dark,Mohawk,,,,,
215,Punk #215,Human,Female,Medium,1,Mohawk,,,,,,
216,Punk #216,Human,Male,Medium,1,Bandana,,,,,,
217,Punk #217,Human,Male,Medium,3,Chinstrap,Earring,Mohawk Dark,,,,
218,Punk #218,Human,Male,Light,4,Cap,Handlebars,Regular Shades,Mole,,,
219,Punk #219,Human,Female,Dark,4,Bandana,Rosy Cheeks,Earring,Clown Eyes Blue,,,
220,Punk #220,Human,Male,Albino,2,Big Shades,Headband,,,,,
221,Punk #221,Human,Male,Dark,4,Stringy Hair,Cigarette,Muttonchops,Classic Shades,,,
222,Punk #222,Human,Male,Light,3,Pipe,Do-rag,Small Shades,,,,
223,Punk #223,Human,Male,Light,3,Nerd Glasses,Normal Beard,Crazy Hair,,,,
224,Punk #224,Human,Male,Light,4,Cigarette,Earring,Nerd Glasses,Headband,,,
225,Punk #225,Human,Female,Medium,3,Orange Side,Hot Lipstick,Earring,,,,
226,Punk #226,Human,Female,Medium,1,Hot Lipstick,,,,,,
227,Punk #227,Human,Female,Medium,1,Wild White Hair,,,,,,
228,Punk #228,Human,Male,Medium,2,Peak Spike,Small Shades,,,,,
229,Punk #229,Human,Male,Light,2,Cigarette,Messy Hair,,,,,
230,Punk #230,Human,Male,Dark,2,Luxurious Beard,Knitted Cap,,,,,
231,Punk #231,Human,Female,Medium,3,Pipe,Stringy Hair,Earring,,,,
232,Punk #232,Human,Female,Dark,2,Blue Eye Shadow,Wild Hair,,,,,
233,Punk #233,Human,Female,Albino,2,Bandana,Hot Lipstick,,,,,
234,Punk #234,Human,Male,Light,2,Nerd Glasses,Knitted Cap,,,,,
235,Punk #235,Human,Male,Light,2,Cigarette,Frumpy Hair,,,,,
236,Punk #236,Human,Male,Light,2,Vampire Hair,Muttonchops,,,,,
237,Punk #237,Human,Male,Dark,2,Mohawk,Regular Shades,,,,,
238,Punk #238,Human,Female,Medium,2,Clown Eyes Green,Straight Hair Dark,,,,,
239,Punk #239,Human,Male,Dark,3,Frown,Goat,Mohawk,,,,
240,Punk #240,Human,Female,Medium,2,Big Shades,Straight Hair Blonde,,,,,
241,Punk #241,Human,Female,Light,1,Wild Blonde,,,,,,
242,Punk #242,Human,Female,Dark,2,Black Lipstick,Stringy Hair,,,,,
243,Punk #243,Human,Male,Light,4,Cigarette,Front Beard,Police Cap,Earring,,,
244,Punk #244,Human,Female,Light,3,Regular Shades,Wild Hair,Purple Lipstick,,,,
245,Punk #245,Human,Female,Dark,1,Dark Hair,,,,,,
246,Punk #246,Human,Male,Albino,3,Bandana,Luxurious Beard,Earring,,,,
247,Punk #247,Human,Female,Dark,2,Green Eye Shadow,Mohawk Dark,,,,,
248,Punk #248,Human,Female,Dark,2,Messy Hair,Purple Eye Shadow,,,,,
249,Punk #249,Human,Female,Light,1,Orange Side,,,,,,
250,Punk #250,Human,Female,Medium,3,Clown Eyes Green,Frumpy Hair,Earring,,,,
251,Punk #251,Human,Female,Light,2,Green Eye Shadow,Mohawk Dark,,,,,
252,Punk #252,Human,Male,Albino,2,Cap Forward,Mole,,,,,
253,Punk #253,Human,Female,Dark,2,Clown Eyes Green,Blonde Short,,,,,
254,Punk #254,Human,Male,Light,1,Fedora,,,,,,
255,Punk #255,Human,Male,Light,2,Mustache,Shaved Head,,,,,
256,Punk #256,Human,Male,Dark,4,Fedora,Vape,Earring,Eye Patch,,,
257,Punk #257,Human,Male,Light,2,Cap,Frown,,,,,
258,Punk #258,Human,Male,Medium,2,Cap Forward,Handlebars,,,,,
259,Punk #259,Human,Male,Light,3,Eye Mask,Cap Forward,Earring,,,,
260,Punk #260,Human,Male,Dark,2,Purple Hair,3D Glasses,,,,,
261,Punk #261,Human,Female,Dark,2,Wild White Hair,Black Lipstick,,,,,
262,Punk #262,Human,Female,Dark,2,Blonde Short,Regular Shades,,,,,
263,Punk #263,Human,Male,Albino,2,Messy Hair,Muttonchops,,,,,
264,Punk #264,Human,Female,Albino,2,Wild White Hair,Earring,,,,,
265,Punk #265,Human,Male,Dark,3,Cap Forward,Gold Chain,Earring,,,,
266,Punk #266,Human,Male,Dark,3,Earring,Do-rag,Small Shades,,,,
267,Punk #267,Human,Male,Dark,2,Clown Nose,Fedora,,,,,
268,Punk #268,Human,Female,Light,1,Knitted Cap,,,,,,
269,Punk #269,Human,Male,Dark,4,Luxurious Beard,Hoodie,Earring,Small Shades,,,
270,Punk #270,Human,Female,Medium,2,Red Mohawk,Clown Eyes Blue,,,,,
271,Punk #271,Human,Male,Medium,1,Stringy Hair,,,,,,
272,Punk #272,Human,Male,Medium,2,Messy Hair,Buck Teeth,,,,,
273,Punk #273,Human,Male,Light,2,Cap Forward,Big Shades,,,,,
274,Punk #274,Human,Male,Light,4,Cap,Handlebars,Earring,Regular Shades,,,
275,Punk #275,Human,Female,Medium,3,Purple Eye Shadow,Stringy Hair,Purple Lipstick,,,,
276,Punk #276,Human,Female,Light,1,Crazy Hair,,,,,,
277,Punk #277,Human,Female,Light,1,Red Mohawk,,,,,,
278,Punk #278,Human,Female,Albino,2,Black Lipstick,Straight Hair Dark,,,,,
279,Punk #279,Human,Female,Medium,3,Blue Eye Shadow,Straight Hair Blonde,Purple Lipstick,,,,
280,Punk #280,Human,Male,Albino,1,Earring,,,,,,
281,Punk #281,Human,Male,Light,0,,,,,,,
282,Punk #282,Human,Female,Albino,2,Classic Shades,Straight Hair Dark,,,,,
283,Punk #283,Human,Female,Light,2,Hot Lipstick,Frumpy Hair,,,,,
284,Punk #284,Human,Male,Albino,1,Mohawk Thin,,,,,,
285,Punk #285,Human,Female,Light,2,Dark Hair,Purple Lipstick,,,,,
286,Punk #286,Human,Male,Albino,2,Wild Hair,Goat,,,,,
287,Punk #287,Human,Female,Albino,3,Mohawk,Purple Eye Shadow,Cigarette,,,,
288,Punk #288,Human,Male,Albino,1,Shaved Head,,,,,,
289,Punk #289,Human,Female,Medium,2,Mohawk Thin,Eye Patch,,,,,
290,Punk #290,Human,Female,Medium,1,Wild Blonde,,,,,,
291,Punk #291,Human,Male,Medium,2,Mohawk Thin,Earring,,,,,
292,Punk #292,Human,Female,Light,2,Tassle Hat,Black Lipstick,,,,,
293,Punk #293,Human,Male,Light,2,Handlebars,Mohawk Dark,,,,,
294,Punk #294,Human,Male,Dark,3,Hoodie,Big Shades,Earring,,,,
295,Punk #295,Human,Male,Medium,2,Frown,Shaved Head,,,,,
296,Punk #296,Human,Male,Medium,1,Mohawk Thin,,,,,,
297,Punk #297,Human,Male,Medium,2,Muttonchops,Crazy Hair,,,,,
298,Punk #298,Human,Female,Light,1,Half Shaved,,,,,,
299,Punk #299,Human,Male,Dark,2,Muttonchops,Do-rag,,,,,
300,Punk #300,Human,Male,Light,2,Goat,Headband,,,,,
301,Punk #301,Human,Female,Albino,3,Red Mohawk,Green Eye Shadow,Hot Lipstick,,,,
302,Punk #302,Human,Female,Medium,3,Blue Eye Shadow,Bandana,Purple Lipstick,,,,
303,Punk #303,Human,Female,Dark,2,Red Mohawk,Purple Lipstick,,,,,
304,Punk #304,Human,Male,Medium,2,Peak Spike,Shadow Beard,,,,,
305,Punk #305,Human,Female,Albino,3,VR,Purple Lipstick,Blonde Bob,,,,
306,Punk #306,Human,Female,Light,2,Vape,Wild Hair,,,,,
307,Punk #307,Human,Male,Medium,2,Frumpy Hair,Chinstrap,,,,,
308,Punk #308,Human,Male,Light,3,Messy Hair,Horned Rim Glasses,Mole,,,,
309,Punk #309,Human,Male,Medium,2,Big Shades,Shaved Head,,,,,
310,Punk #310,Human,Male,Dark,4,Bandana,Vape,Classic Shades,Earring,,,
311,Punk #311,Human,Male,Light,2,Front Beard,Frumpy Hair,,,,,
312,Punk #312,Human,Male,Light,2,Cap Forward,Chinstrap,,,,,
313,Punk #313,Human,Female,Light,2,Purple Lipstick,Mohawk Dark,,,,,
314,Punk #314,Human,Male,Albino,2,Eye Mask,Police Cap,,,,,
315,Punk #315,Human,Female,Medium,3,Wild White Hair,Black Lipstick,Cigarette,,,,
316,Punk #316,Human,Female,Dark,1,Bandana,,,,,,
317,Punk #317,Human,Male,Medium,3,Bandana,Frown,Chinstrap,,,,
318,Punk #318,Human,Female,Albino,3,Bandana,Hot Lipstick,Cigarette,,,,
319,Punk #319,Human,Female,Light,2,Earring,Straight Hair Dark,,,,,
320,Punk #320,Human,Male,Dark,1,Stringy Hair,,,,,,
321,Punk #321,Human,Male,Medium,1,Peak Spike,,,,,,
322,Punk #322,Human,Female,Medium,3,Black Lipstick,Pink With Hat,Clown Eyes Green,,,,
323,Punk #323,Human,Male,Dark,1,Mohawk Dark,,,,,,
324,Punk #324,Human,Female,Albino,3,Hot Lipstick,Earring,Blonde Bob,,,,
325,Punk #325,Human,Male,Dark,3,Police Cap,Mustache,Small Shades,,,,
326,Punk #326,Human,Female,Dark,3,Wild White Hair,Hot Lipstick,Earring,,,,
327,Punk #327,Human,Male,Albino,1,Crazy Hair,,,,,,
328,Punk #328,Human,Male,Light,2,Bandana,Horned Rim Glasses,,,,,
329,Punk #329,Human,Female,Medium,2,Bandana,Eye Patch,,,,,
330,Punk #330,Human,Male,Medium,2,Knitted Cap,Clown Eyes Green,,,,,
331,Punk #331,Human,Female,Albino,3,Tassle Hat,Purple Lipstick,Earring,,,,
332,Punk #332,Human,Male,Dark,2,Stringy Hair,Horned Rim Glasses,,,,,
333,Punk #333,Human,Female,Light,3,Purple Eye Shadow,Straight Hair Blonde,Purple Lipstick,,,,
334,Punk #334,Human,Male,Dark,2,Wild Hair,Big Beard,,,,,
335,Punk #335,Human,Male,Medium,1,Clown Hair Green,,,,,,
336,Punk #336,Human,Male,Medium,3,Nerd Glasses,Normal Beard,Top Hat,,,,
337,Punk #337,Human,Male,Medium,1,Frumpy Hair,,,,,,
338,Punk #338,Human,Male,Light,2,Messy Hair,Small Shades,,,,,
339,Punk #339,Human,Female,Albino,5,Mole,Cap,Big Shades,Black Lipstick,Earring,,
340,Punk #340,Human,Male,Medium,4,Muttonchops,Headband,Medical Mask,3D Glasses,,,
341,Punk #341,Human,Female,Light,2,Messy Hair,Earring,,,,,
342,Punk #342,Human,Female,Light,2,Bandana,Regular Shades,,,,,
343,Punk #343,Human,Male,Light,2,Police Cap,Shadow Beard,,,,,
344,Punk #344,Human,Male,Dark,1,Beanie,,,,,,
345,Punk #345,Human,Female,Medium,2,Tassle Hat,Earring,,,,,
